Codigo_Edi;Numero_Alt;AnoC;Numero_Viv;USO;Npot;LCZ.cat;BUFF_RSOL;BUFF_SVF;BUFF_NDVI;BUFF_ACUS;BUFF_ALBED;BUFF_OZONO;perimetro;area;conv;elon;num_vecinos;vol;comp
1;13;1962;24;1;4;6;0.44;0.677;0.269;61.798;0.125;52.937;97.04221401;587.4853;0.999932513;0.885406565;1;26730.58115;0.16518237
2;6;1962;10;1;4;6;0.36;0.681;0.292;61.797;0.15;52.948;72.67301674;233.4033;0.910108732;0.745221266;1;4901.4693;0.311362422
3;6;1962;11;1;3;10;0.36;0.666;0.374;61.772;0.143;52.959;70.74721654;232.4941;0.887248466;0.764014397;2;4882.3761;0.304296825
4;6;1957;12;1;3;10;0.4;0.685;0.364;61.761;0.143;52.951;69.1514062;234.33585;0.921026495;0.78473547;2;4921.05285;0.295095292
5;6;1962;10;1;3;6;0.36;0.576;0.374;61.757;0.14;52.963;60.11316643;192.8281;0.992333693;0.818880422;2;4049.3901;0.311744846
6;6;1962;12;1;3;6;0.32;0.561;0.387;61.734;0.142;52.951;60.61627547;195.9074;0.995883684;0.818542257;2;4114.0554;0.309412893
7;6;1962;10;1;3;6;0.4;0.633;0.326;61.737;0.145;52.964;61.25749048;200.94875;1;0.820329605;1;4219.92375;0.304841361
8;6;1962;12;1;3;6;0.4;0.648;0.342;61.714;0.151;52.954;61.28483078;199.23085;0.995652939;0.816451206;1;4183.84785;0.307607134
9;6;1962;12;1;3;10;0.36;0.676;0.289;61.732;0.139;52.932;63.92495604;213.08155;0.935158828;0.809482413;1;4474.71255;0.300002304
10;6;1962;12;1;3;10;0.38;0.679;0.285;61.709;0.14;52.937;61.51639238;200.22025;0.986970303;0.815395055;2;4204.62525;0.30724361
11;6;1962;12;1;3;10;0.4;0.683;0.247;61.683;0.139;52.937;62.23970118;209.0465;1;0.82349105;1;4389.9765;0.297731372
12;6;1962;10;1;3;4;0.28;0.628;0.276;61.706;0.144;52.966;61.02531373;200.66725;1;0.82287366;1;4214.01225;0.304111975
13;6;1962;12;1;3;6;0.36;0.635;0.328;61.678;0.157;52.955;60.98542501;200.33235;0.999165086;0.82272448;1;4206.97935;0.304421253
14;6;1962;10;1;3;4;0.32;0.568;0.249;61.695;0.146;52.97;60.85252901;195.4474;0.988419234;0.814406533;2;4104.3954;0.311349903
15;6;1962;12;1;3;6;0.32;0.53;0.356;61.663;0.163;52.957;60.35887418;191.51195;0.991661758;0.812758912;2;4021.75095;0.315170276
16;6;1962;11;1;3;2;0.36;0.575;0.217;61.681;0.156;52.971;70.69933953;229.1947;0.882828398;0.759087536;2;4813.0887;0.308468475
